Product name,Price,Ratings,No of Ratings,RAM,ROM,Display(cm),cameraQ(MP),Label
Realme 7 Pro ,21999,4.4,14530,8,128,16.26,64,0.772395673940877
Realme 7 Pro ,19999,4.4,42541,6,128,16.26,64,0.795037541491043
Realme 5i ,11999,4.5,381702,4,128,16.56,12,0.773439978817753
Realme 7 Pro ,19999,4.4,42541,6,128,16.26,64,0.758914311111557
Redmi Note 8 ,12499,4.4,34950,4,64,16,48,0.709484585305638
POCO M2 Pro ,16999,4.4,155770,6,128,16.94,48,0.692792074997553
POCO M2 Pro ,16999,4.4,155770,6,128,16.94,48,0.636245800167725
Apple iPhone SE ,35900,4.6,72791,0,64,11.94,12,0.807985740333251
Nokia 105 SS 2020,0,0,0,0,0,0,0,-1
OPPO A9 2020 ,17990,4.3,48338,8,128,16.51,48,0.681099423337371
OPPO F15 ,15990,4.4,19664,4,128,16.26,48,0.645889485249153
Redmi Note 8 ,12499,4.4,34950,4,64,16,48,0.780184977973184
OPPO F15 ,18990,4.4,19019,8,128,16.26,48,0.728605159646046
OPPO A52 ,17999,3.8,6,8,128,16.51,12,0.687011904171763
OPPO F15 ,15990,4.4,19664,4,128,16.26,48,0.64616145791178
OPPO F15 ,18990,4.4,19019,8,128,16.26,48,0.794522697957602
Motorola One Fusion+ ,17499,4.4,69402,6,128,16.51,64,0.625201843757415
OPPO A5s ,10990,4.3,21664,4,64,15.75,13,0.807375712426972
OPPO A5s ,10990,4.3,21664,4,64,15.75,13,0.773909191412172
OPPO A5s ,8990,4.3,28455,2,32,15.75,13,0.641432842251951
Realme 5i ,10999,4.5,381702,4,64,16.56,12,0.812576201707576
OPPO A52 ,16398,4.3,3171,6,128,16.51,12,0.69997074656887
Itel Vision1 ,6999,4.1,11344,3,32,15.46,8,0.695623400429973
Itel Vision1 ,6999,4.1,11344,3,32,15.46,8,0.608829495944712
Itel VISION1 ,6499,4.2,44,2,32,15.46,8,0.828968743252266
Lava A3,0,0,0,0,0,0,0,-1
Lava A3,0,0,0,0,0,0,0,-1
Realme 7 Pro ,21999,4.4,14530,8,128,16.26,64,0.761258682215378
Realme 7 Pro ,19999,4.4,42543,6,128,16.26,64,0.783553528942724
POCO M2 Pro ,13999,4.4,94151,4,64,16.94,48,0.771080002033754
POCO X2 ,17499,4.5,221510,6,64,16.94,64,0.645037105788494
MarQ by Flipkart 110 Magic,969,4.1,47,0.032,0.032,6.1,2,0.602051066880589
Itel VISION1 ,6499,4.2,44,2,32,15.46,8,0.67491607992468
OPPO A5s ,10990,4.3,21664,4,64,15.75,13,0.609076036319754
Lava A3,0,0,0,0,0,0,0,-1
Lava A3,0,0,0,0,0,0,0,-1
Apple iPhone SE ,35900,4.6,72791,0,64,11.94,12,0.651298885851667
Vivo Y11 ,9490,4.3,12879,3,32,16.13,13,0.756901743853438
Vivo Y11 ,9490,4.3,12879,3,32,16.13,13,0.74349208983131
POCO X3 ,19999,4.3,6714,8,128,16.94,64,0.831198668371802
Vivo Y30 ,13990,4.3,5082,4,128,16.43,13,0.846755103442828
Lava A1,0,0,0,0,0,0,0,-1
Lava A1,0,0,0,0,0,0,0,-1
Lava A1,0,0,0,0,0,0,0,-1
Lava A1,0,0,0,0,0,0,0,-1
Lava A1,0,0,0,0,0,0,0,-1
POCO M2 ,12499,4.3,155584,6,128,16.59,13,0.782809418795279
Vivo V20 SE ,20990,4.4,254,8,128,16.36,48,0.784498307573323
Realme X3 ,24999,4.4,2249,6,128,16.69,64,0.673388484467669
Vivo Y20 ,12990,4.4,6327,4,64,16.54,13,0.74620307987035
Vivo Y20 ,12990,4.4,6327,4,64,16.54,13,0.781741422116151
Vivo Y20 ,13990,4.4,2362,6,64,16.54,13,0.642176890073288
Vivo Y20 ,12990,4.4,6327,4,64,16.54,13,0.750478362314156
Samsung Guru Music 2,0,0,0,0,0,0,0,-1
Nokia 105 DS 2020,0,0,0,0,0,0,0,-1
Redmi Note 8 ,12499,4.4,34950,4,64,16,48,0.649699075683502
Panasonic Eluga I7 ,5001,3.7,1253,2,16,13.87,8,0.831908424179688
Apple iPhone XR ,49900,4.6,54615,0,128,15.49,12,0.690100395201918
BlackZone B310,639,3.9,329,0.01,0.01,4.57,0,0.609823296370612
I kall k6300 NEW,1169,3.4,452,0.064,0.064,7.11,8,0.677602006803712
Samsung Galaxy M21 ,14949,4.3,2595,4,64,16.26,48,0.758309559628766
Motorola E7 Plus ,9499,4.2,21708,4,64,16.51,48,0.691338830913837
Vivo Y20i ,11490,4.3,3305,3,64,16.54,13,0.674828136365248
Realme Narzo 10A ,9999,4.5,50776,3,32,16.56,12,0.701700799028677
Realme Narzo 10A ,10999,4.5,80853,4,64,16.56,12,0.820384366858347
OPPO A9 2020 ,15990,4.3,89839,4,128,16.51,48,0.77206529248562
OPPO A9 2020 ,15990,4.3,89839,4,128,16.56,48,0.709908575603566
POCO X2 ,17499,4.5,221510,6,64,16.94,64,0.615639086366687
BlackZone RANGER,619,4.3,4,0.064,0.064,4.57,10,0.705074102087982
Lava A1,0,0,0,0,0,0,0,-1
OPPO A52 ,16990,4.3,3171,6,128,16.51,12,0.788878201429153
