Product name,Price,Ratings,No of Ratings,RAM,ROM,Display(cm),cameraQ(MP),Label
Google Pixel 3a ,30999,4.5,6221,4,64,14.22,12,0.192045510297458
Karbonn KX23,1099,3.7,162,0.02,0.02,6.1,0,0.469441178480769
Kechaoda K13,0,0,0,0,0,0,0,-1
Samsung Galaxy S8 Plus ,53990,4.6,2003,4,64,15.75,12,0.235555946878645
Samsung Galaxy A70s ,25999,4.4,970,8,128,17.02,64,0.061085762306299
Karbonn KX26,1099,4,1003,0.032,0.032,6.1,0,0.478462428886347
Itel Power 400,1324,4.1,1716,0.032,0.032,6.1,0,0.460165353730371
Kechaoda K9,0,0,0,0,0,0,0,-1
Tecno Spark 5 Pro ,10390,4.3,137,4,64,16.76,16,0.044669294534331
Realme X ,20999,4.5,42641,8,128,16.59,48,0.344171588601014
I Kall K 48,649,3.7,2421,0.032,0.064,4.57,0,0.43363463772412
nuvo NF18-BW,699,3.6,83,0.032,0.032,4.57,1,0.038163360120564
Intex Eco 107,0,0,0,0,0,0,0,-1
Intex Eco 107,0,0,0,0,0,0,0,-1
iQOO 3 ,44990,4.4,1463,12,256,16.36,48,0.350613377976362
Energizer Power Max P20,1449,3.8,89,0.032,0.032,7.11,0,0.209826487672241
MU M5000,1299,0,0,0.032,0.032,7.11,1,0.422870223117645
Redmi 6A ,7999,4.3,53161,2,32,13.84,13,0.159415965128272
Motorola Edge+ ,64999,4.2,217,12,256,17.02,10,0.402619655695364
MU M5000,1299,0,0,0.032,0.032,7.11,1,0.284912856195108
Redmi 6A ,7999,4.3,53161,2,32,13.84,13,0.40271447075853
Motorola Edge+ ,64999,4.2,217,12,256,17.02,10,0.202147844415698
MU M370,935,4.3,361,0.032,0.032,3.66,0,0.359645634020769
Samsung Galaxy A51 ,24499,4.4,2046,8,128,16.51,48,0.4106467098038
Karbonn K310n,799,3.9,1186,0.01,0.01,4.57,0,0.391002240351576
Mi A2 ,13999,4.1,2978,6,128,15.21,20,0.444408842115611
Karbonn KX5,876,4,114,0.032,0.032,4.57,0,0.332526325729387
Redmi 6 ,8250,4.4,552467,3,32,13.84,12,0.259172041384044
BlackZone PORSCHE 911,1260,3.5,27,0.064,0.064,3.66,0,0.221600651004785
Nokia 2.3 ,0,0,0,0,0,0,0,-1
Micromax X382,948,4,67,0.032,0.032,4.5,0,0.094170775290372
Apple iPhone XS ,79990,4.7,11814,0,256,14.73,12,0.10743050133379
Gfive U873,730,3.7,1548,0.032,0.032,4.57,0,0.281835186297126
Lava A1 Josh,0,0,0,0,0,0,0,-1
Easyfone Amico,0,0,0,0,0,0,0,-1
Kechaoda K116 Plus,0,0,0,0,0,0,0,-1
I Kall K3312 Combo,1199,3.6,1508,0.032,0.064,4.57,0,0.403462038346887
MTR Ferrari,1199,4.1,2971,0.064,0.064,4.5,0,0.290462937533406
Karbonn K-PHONE6,1299,0,0,0.032,0.032,6.1,0,0.230297659423213
Karbonn KX1,840,3.9,920,0.032,0.032,4.57,0,0.011387678199507
Kechaoda K6,0,0,0,0,0,0,0,-1
Redmi 6A ,7399,4.3,53161,2,16,13.84,13,0.246786287849457
Gfive U707 & U873 Combo of Two mobiles,1399,3.4,41,0.032,0.064,4.57,0,0.174060635897921
Gfive U707 & U873 Combo of Two mobiles,1399,3.4,41,0.032,0.064,4.57,0,0.173050404970092
Samsung Galaxy M30S ,17500,4.3,3866,4,128,16.26,48,0.187593181503724
Forme D10,848,3.8,12,0.012,0.012,4.57,0,0.315061100466652
Mobiistar E1 Selfie ,6790,3.8,518,3,32,13.84,13,0.236682462280812
Itel A23 ,3950,3.7,127,1,8,12.7,2,0.035082189554209
Tork T3,949,3.4,73,0.032,0.032,4.57,0,0.420556780624725
Intex Eco 105vx,0,0,0,0,0,0,0,-1
Kechaoda A 31,0,0,0,0,0,0,0,-1
OPPO Reno3 Pro ,29990,4.4,3055,8,256,16.26,64,0.447476024750945
Forme N9,678,3.4,7,0.032,0.032,4.57,10,0.452769804795911
OPPO Reno3 Pro ,25990,4.4,3055,8,128,16.26,64,0.399056454190957
Jivi N9030,1349,3.8,112,0.001,0.016,7.11,0,0.377666130108267
Micromax X381,890,4,418,0.032,0.032,4.5,0,0.251402210927232
BlackZone COOL,619,4.3,8,0.064,0.064,4.57,0,0.206654395160219
Samsung Galaxy S20+ ,49999,4.5,11423,8,128,17.02,64,0.422094830035469
Micromax X1i-Pop,940,4,213,0.056,0.04,4.5,0,0.120070345151525
Blackbear i7 Trio Combo of Two Mobiles,3039,3.6,8,0.064,0.064,5.08,1,0.353082959965511
Detel D1 Champ,664,3.7,1416,0.032,0.032,4.57,0,0.221550243264799
Samsung Galaxy S10 Lite ,36099,4.5,12059,8,128,17.02,48,0.147908269611696
Redmi Note 8 Pro ,15999,4.4,77287,6,64,16.59,64,0.425490757504262
Apple iPhone 12 ,79900,4.8,290,0,64,15.49,12,0.026743296393797
Nokia 125 DS,0,0,0,0,0,0,0,-1
VOTO V11 ,3990,3.4,132,2,16,12.7,13,0.19867908561703
VOTO V11 ,3990,3.4,132,2,16,12.7,13,0.226581835862477
Kechaoda K30,0,0,0,0,0,0,0,-1
Itel Muzik110,1039,4.6,8,0.004,0.005,4.57,0,0.326351281738248
Karbonn KX1,845,3.9,920,0.032,0.032,4.57,0,0.314998653607968
Karbonn KX1,840,3.9,920,0.032,0.032,4.57,0,0.315462612886624
Infinix Hot 7 Pro ,10990,4.2,10382,6,64,15.72,13,0.074303356304258
Gfive U707 & U873 Combo of Two mobiles,1399,3.4,41,0.032,0.064,4.57,0,0.069460659258963
Coolpad Mega 5M ,4199,3.6,1118,1,16,12.7,5,0.069833204388532
OPPO K1 ,14990,4.4,74537,4,64,16.28,16,0.224151223340299
Spinup A8 ,4999,3.2,23,2,16,13.97,8,0.400716600968218
ROKEA R222,1098,3.2,31,0.256,0.032,3.66,0,0.463178556311466
Vivo U10 ,11990,4.4,41816,3,64,16.13,13,0.178640645972745
InFocus POWER 2,1330,3.7,112,0.064,0.064,6.1,0,0.021775450579553
InFocus POWER 2,1249,3.7,112,0.064,0.064,6.1,0,0.187841997486772
Apple iPhone 7 ,29799,4.5,93809,0,32,11.94,12,0.136386308844187
OPPO F5 ,14990,4.4,5754,4,32,15.24,16,0.200484508733345
InFocus VIBE 2,955,4.2,83,0.032,0.032,6.1,0,0.145865529572967
OPPO F5 ,13799,4.4,5754,4,32,15.24,16,0.18285863816892
Micromax X1i Pop,930,3.9,1989,0.056,0.056,4.57,0,0.152750938559875
Samsung Galaxy Note10 Lite ,37999,4.4,343,6,128,17.02,12,0.327153618431225
Apple iPhone SE ,50900,4.6,72796,0,256,11.94,12,0.027492442393559
Moto X Play,17499,4.2,61507,2,16,13.97,21,0.26002854146713
I Kall K 19 Car,1199,4.1,361,0.032,0.064,4.5,0,0.246257347513557
Muphone M210,1699,3.7,135,0.064,0.032,7.11,3,0.371820149972131
Easyfone Star,0,0,0,0,0,0,0,-1
